Household_ID;era;n_days;Weather_ID;hdd_raw_day;hdd_p6_day;hdd_normal_day;def_p6;def_normal;env_p6;env_normal;bin;raw_over_normal;p6_over_normal;def_ratio;rank_p6;rank_normal
768113;1976_1990;908;wDD;4.278681374896252;3.847735049367133;4.052917477628678;1924.4339976732876;2027.0554192643149;1554.2271186545258;1637.1070701542872;730-1095;1.0557040449290536;0.9493741411232496;1.0533255085469808;17.0;18.0
122850;2001_2010;913;8jB;3.898378446592695;3.505736013122927;3.723456018059466;860.9196343260496;884.5334451989581;380.230503891267;403.8443147641756;730-1095;1.0469785134253828;0.9415274401307399;1.0274285890707953;19.0;18.0
461104;1991_2000;767;8jB;4.362096508134459;3.9227486583942976;3.723456018059466;1037.5537825413767;984.8415517004892;1037.553782541377;984.8415517004892;730-1095;1.171518204318103;1.0535235650342651;0.9491956641401522;11.0;13.5
112810;1991_2000;851;Hg;3.8071850934109914;3.4237276019883014;3.7172538605042673;870.4509246327107;945.0772479946586;870.4509246327115;945.0772479946586;730-1095;1.0241929220552413;0.9210368004093895;1.0857329474300192;17.0;16.0
610891;2001_2010;824;8jB;3.701072437385676;3.3283025516058236;3.723456018059466;2411.83783152936;2469.90411965814;489.08130979022985;547.1475979190097;730-1095;0.9939884933338207;0.8938745443649466;1.0240755358298532;4.0;5.0
858577;1976_1990;1127;8jB;3.793147570181192;3.52195688967613;3.723456018059466;1772.1119447217418;1845.9971680803687;1291.4228142869588;1365.3080376455862;1095+;1.018716899510484;0.9458838435566239;1.0416933160338404;22.0;21.0
8399121;2001_2010;478;MqO;4.868294979079498;3.888414520031548;5.348647862061662;2335.7860011204175;2490.892771226038;413.02947938128614;568.1362494869074;365-548;0.9101917166038653;0.7269901889807231;1.0664045293666542;7.0;4.0
108987;2001_2010;512;MqO;5.861366833673007;4.681602902294735;5.348647862061662;2003.8690492814867;2083.9157709200667;561.8016579771393;641.848379615719;365-548;1.0958595489615417;0.8752871796817427;1.0399460841352293;9.0;9.0
788488;2001_2010;599;MqO;5.208797996661102;5.448533469310776;5.348647862061662;881.7879169686476;865.6224805172702;881.7879169686474;865.6224805172702;548-730;0.9738532300111725;1.0186749267899295;0.9816674325647943;18.0;19.0
865116;1976_1990;726;HbsbG;3.410258284425281;3.5672157786875323;3.836171410969115;2696.5443383750817;2827.369810800178;1735.1660775055175;1865.9915499306128;548-730;0.8889744276478413;0.9298895686692901;1.0485159730412335;7.0;9.0
991118;1976_1990;1569;Hg;3.9848345387535673;3.6999392188983915;3.7172538605042673;2580.6972841453385;2588.275227153264;1619.3190232757743;1626.896966283699;1095+;1.0719834287058891;0.9953420879349018;1.0029363936074491;8.0;10.0
816910;1991_2000;476;MqO;6.181615515771527;4.93739258448205;5.348647862061662;2622.418273243902;2720.7344434263287;1180.3508819395543;1278.6670521219812;365-548;1.155734248204703;0.9231104218887405;1.0374906517337565;3.0;3.0
1001228;2001_2010;295;z6I;2.4354654875951853;1.9452599741175602;3.628140633646451;210.54735383327397;392.6957938338124;210.54735383327358;392.6957938338124;<365;0.6712709714197127;0.5361589228591955;1.8651186380845053;35.0;28.0
107461;1976_1990;577;8jB;2.690849345691106;2.814695968296136;3.723456018059466;645.3258728387809;853.6774599800154;645.3258728387807;853.6774599800154;548-730;0.7226752062170139;0.7559364081767928;1.3228625968841112;61.0;60.0
106100;1976_1990;742;8jB;3.3471929762881363;3.010065626158396;3.723456018059466;1107.145249154269;1369.5404528739932;1107.1452491542689;1369.5404528739932;730-1095;0.8989479021784109;0.8084063868510889;1.2370016074405448;53.0;50.0
5845834;2001_2010;557;8jB;3.2924055759373454;3.4439388869637506;3.723456018059466;322.0535436145278;348.19206857822235;322.0535436145275;348.19206857822235;548-730;0.8842337763541601;0.9249307284039332;1.0811620473736512;28.0;32.0
1111201;pre1975;866;8jB;4.055902065133715;3.6473939434655707;3.723456018059466;6290.299431954394;6381.379359096343;4107.063789410371;4192.711733436729;730-1095;1.0892842685563688;0.9795721839535689;1.0144794263178105;4.0;4.0
8612210;1976_1990;582;8jB;3.673981796902236;3.843077193412381;3.723456018059466;1671.3371930262647;1619.3144754541206;1671.3371930262654;1619.3144754541206;548-730;0.9867128224645946;1.0321263833311658;0.9688735954724089;26.0;32.0
7211010;pre1975;579;8jB;3.6930179720157192;3.862989510476694;3.723456018059466;3168.2174780730056;3053.779567161287;2811.3882699631226;2709.8392435459177;548-730;0.9918253241353956;1.037474188426146;0.963879401681313;21.0;29.0
1211151;pre1975;910;wDD;4.196328961618092;3.7736771237572766;4.052917477628678;3696.297600729672;3969.812110899024;3448.740709245057;3703.9367804715894;730-1095;1.0353847530281626;0.9311013966080597;1.0739968854551534;18.0;16.0
7771161;pre1975;887;8jB;3.8317206182703463;3.4457919229049874;3.723456018059466;4472.0485452660905;4832.4090489152395;3963.009750971285;4282.351586233391;730-1095;1.029076374122798;0.9254283939953217;1.0805806332381187;8.0;7.0
5769106;post2010;582;8jB;3.673981796902236;3.843077193412381;3.723456018059466;-84.07625667258799;-81.4592650962317;-84.0762566725883;-81.4592650962317;548-730;0.9867128224645946;1.0321263833311658;0.9688735954724121;8.0;6.0
