Household_ID;era;pv;area_m2;kwh_per_day;hdd_per_day;n_days;tier;deficiency;deficiency_lo;deficiency_hi;E_as_built;E_as_built_lo;E_as_built_hi;E_reference;E_reference_lo;E_reference_hi;band;decisive;window;pv_lvl;kwh_yr;implied_appliance;rank_in_era;n_decisive_in_era
102766;2001_2010;;216.0;42.48199443671766;4.701064884803773;719;T1;1678.3773183076464;1240.0441425747922;2195.705085007516;4958.3744963728905;4244.4098990464445;5673.381500527922;3279.997178065244;2834.9970553102667;3760.559361056337;955.6609424327239;True;post_visit;Unknown;15505.927969401948;10547.553473029056;10.0;29
105900;2001_2010;False;240.0;38.21156052141527;5.580197082557418;537;T1;3012.2653036837164;2562.1938334684965;3629.0085821947328;7417.482360374161;6911.320725494736;8283.45332142993;4405.217056690444;4121.004721065108;4957.767965358171;1066.8147487262363;True;post_visit;no PV;13947.219590316574;6529.737229942413;1.0;29
826780;pre1975;True;150.0;13.34161401425178;4.069792376673895;842;T3;2354.8775980422415;988.6526988813671;4396.620689148509;4993.888779276335;3630.1690267832705;7165.114969342626;2639.011181234094;2413.5856165212613;3013.8077555590394;3407.967990267142;True;post_visit;PV;4869.6891152019;-124.19966407443553;25.0;29
698310;pre1975;True;200.0;25.177097415506957;3.574444694153917;503;T2;2608.3493320613443;1039.0682279782375;4493.015580058987;5942.119889943719;4426.840909781108;7983.580255100951;3333.7705578823743;3054.225503804366;3802.160043896014;3453.9473520807496;True;post_visit;PV;9189.640556660039;3247.52066671632;24.0;29
24611;pre1975;;160.0;19.007152758132957;3.20565853883525;707;T2;3070.93757257037;1707.4608657786791;4432.249190423289;4802.929784598825;3291.6539447003506;6119.071343186975;1731.992212028455;1463.1957705422435;1884.6897917030626;2724.78832464461;True;post_visit;Unknown;6937.610756718529;2134.680972119704;16.0;29
6683113;pre1975;False;160.0;22.48769254658385;2.9318234989648033;322;T2;2144.594128595047;1300.2949964419497;3396.690867140677;4574.954027264154;3686.8567796175844;5903.274791453026;2430.359898669107;2217.2424184561537;2714.5181127321944;2096.395870698727;True;post_visit;no PV;8208.007779503105;3633.0537522389504;22.0;29
896968;1976_1990;True;200.0;10.355299418604652;3.077478113414223;344;T2;1038.2050088458777;589.4041081949313;1706.3039181535785;3026.028074803702;2558.9220565818355;3822.9067854441887;1987.8230659578244;1865.2134107916925;2240.2291014387188;1116.8998099586472;True;post_visit;PV;3779.684287790698;753.6562129869958;47.0;53
9981041;2001_2010;True;410.0;25.311705711519842;3.2268635324157864;1033;T1;465.4852658072127;204.11312265271098;806.5358064326197;3357.3313990188276;3053.9865065033437;4026.954275317515;2891.846133211615;2628.8989058316656;3391.957225627087;602.4226837799087;True;post_visit;PV;9238.772584704742;5881.441185685915;19.0;29
111710;1991_2000;;290.0;36.80000807265388;5.14109382997704;991;T1;1657.314432398678;1273.2352554233362;2451.9078240286476;5701.461939560323;5248.556166064363;6982.281410277735;4044.147507161645;3730.651533815758;4818.41170822575;1178.6725686053114;True;post_visit;Unknown;13432.002946518667;7730.541006958344;8.0;17
1027273;2001_2010;;200.0;27.64955571847507;4.498153714565005;682;T1;2480.438310491727;2090.893029101907;2939.7498929544804;6253.7860392619095;5608.400120903123;6871.197884082429;3773.3477287701826;3290.3801291740824;4174.950021700286;848.8568638525735;True;post_visit;Unknown;10092.087837243402;3838.301797981492;3.0;29
6981151;pre1975;False;240.0;60.296394678492234;3.885629992930364;902;T2;3061.550143464497;1721.7971360498093;5179.582903789767;5816.19729493344;4474.990945122171;8348.180029096131;2754.6471514689433;2555.9666856399854;3285.7077657316504;3457.785767739958;True;post_visit;no PV;22008.184057649665;16191.986762716224;15.0;29
876511;1991_2000;;500.0;48.546786407766994;3.7272330097087383;412;T1;5345.738542444475;4732.830158014509;6103.060756149211;11557.671419958464;10874.769804643747;12884.634198602025;6211.932877513989;5784.381288962098;7055.986877599161;1370.2305981347017;True;post_visit;Unknown;17719.577038834952;6161.905618876488;1.0;17
7412010;2001_2010;;250.0;32.96525670498084;5.349812454883669;783;T1;698.1438455288453;337.2717073135128;1292.2442590183218;5449.266860865947;4969.367406447031;6582.654925130288;4751.123015337102;4386.112507600731;5635.2774081677335;954.972551704809;True;post_visit;Unknown;12032.318697318005;6583.0518364520585;15.0;29
6810910;1976_1990;False;160.0;31.21874181818182;5.723695740008783;825;T2;2047.778792565618;772.7313692304277;3705.9906997502353;4974.591132265163;3792.1526611533395;6915.420723855868;2926.8123396995447;2681.2831642828314;3378.329696275438;2933.2593305198075;True;post_visit;no PV;11394.840763636364;6420.249631371202;35.0;53
9889190;pre1975;False;200.0;19.154939432989693;4.175765912147019;776;T3;3667.1406510549086;1663.443777526763;7088.923226478801;6855.253367289338;4911.309866436514;10473.873281449294;3188.112716234429;2910.7841679039175;3738.84365210345;5425.479448952037;True;post_visit;no PV;6991.552893041237;136.29952575189964;17.0;29
6808461;post2010;False;207.0;16.18072472594397;3.950642729792229;821;T1;-79.13331085195205;-277.8695700271446;90.40604778252921;2873.5098832357316;2643.820310579966;3290.3019788536562;2952.6431940876837;2715.247200004272;3370.608322446715;368.2756178096738;False;post_visit;no PV;5905.9645249695495;3032.454641733818;;1
6773102;pre1975;False;200.0;36.43627728983689;3.793470959940356;797;T3;2696.1602483178785;1138.0151154662658;5164.715349222155;5553.614168129722;3998.2588748396;8304.358920055987;2857.4539198118437;2599.3021288517425;3272.9304024942794;4026.7002337558893;True;post_visit;no PV;13299.241210790464;7745.627042660742;23.0;29
4710670;pre1975;True;300.0;31.973840852130326;4.018836902037703;798;T1;4978.146720822038;4229.5237044090645;7508.656177687941;8071.907995497422;7196.288107241442;11193.604577607133;3093.761274675384;2857.021060233125;3742.841393750595;3279.132473278876;True;post_visit;PV;11670.451911027569;3598.5439155301465;4.0;29
