Household_ID;hp_type;hp_install_year;era;unit_age_years;unit_recommendation;term_vintage_kwh;vintage_factor;visit_status;curve_first
6981151;air-source;;pre1975;;RECORD_INSTALL_YEAR;0.0;1.0;SLOPE_EXCESS;False
876511;air-source;;1991_2000;;RECORD_INSTALL_YEAR;0.0;1.0;SLOPE_EXCESS;False
7412010;air-source;;2001_2010;;RECORD_INSTALL_YEAR;0.0;1.0;INCONCLUSIVE;False
7101112;air-source;;post2010;;RECORD_INSTALL_YEAR;;;;False
6810910;air-source;2019.0;1976_1990;5.0;KEEP_IN_LIFE;0.0;1.0;INCONCLUSIVE;False
9889190;ground-source;2017.0;pre1975;7.0;KEEP_IN_LIFE;0.0;1.0;INCONCLUSIVE;False
6808461;ground-source;2015.0;post2010;9.0;KEEP_IN_LIFE;33.61950010405805;0.9734444444444444;INCONCLUSIVE;False
747511;air-source;2014.0;1991_2000;10.0;KEEP_IN_LIFE;;;;False
6773102;ground-source;2014.0;pre1975;10.0;KEEP_IN_LIFE;64.73523156486874;0.9601666666666666;INCONCLUSIVE;False
4710670;air-source;2017.0;pre1975;7.0;KEEP_IN_LIFE;0.0;1.0;INCONCLUSIVE;False
716869;air-source;2011.0;1976_1990;13.0;PLAN_REPLACEMENT;130.84307925252162;0.9313333333333333;INCONCLUSIVE;False
115508;ground-source;2018.0;pre1975;6.0;KEEP_IN_LIFE;0.0;1.0;INCONCLUSIVE;False
781099;ground-source;2009.0;1976_1990;15.0;KEEP_IN_LIFE;140.55723990561418;0.8937777777777778;INCONCLUSIVE;False
105768;ground-source;2017.0;pre1975;7.0;KEEP_IN_LIFE;0.0;1.0;INCONCLUSIVE;False
8010411;air-source;2018.0;post2010;6.0;KEEP_IN_LIFE;0.0;1.0;SLOPE_EXCESS;False
7086681;air-source;2010.0;2001_2010;14.0;PLAN_REPLACEMENT;147.9937728881361;0.919888888888889;SLOPE_EXCESS;True
868122;air-source;2012.0;1976_1990;12.0;KEEP_IN_LIFE;166.77736049242907;0.9427777777777778;BELOW_PHYSICS;False
881223;air-source;2009.0;1976_1990;15.0;PLAN_REPLACEMENT;262.2093261588714;0.9084444444444445;SLOPE_EXCESS;True
118708;ground-source;2012.0;1991_2000;12.0;KEEP_IN_LIFE;64.06963930535134;0.9336111111111112;SLOPE_EXCESS;False
1037610;ground-source;2019.0;post2010;5.0;KEEP_IN_LIFE;0.0;1.0;INCONCLUSIVE;False
6885841;air-source;2017.0;post2010;7.0;KEEP_IN_LIFE;0.0;1.0;INCONCLUSIVE;False
2794690;air-source;2018.0;1976_1990;6.0;KEEP_IN_LIFE;0.0;1.0;INCONCLUSIVE;False
111119;ground-source;2017.0;1976_1990;7.0;KEEP_IN_LIFE;0.0;1.0;BELOW_PHYSICS;False
105807;ground-source;2005.0;1976_1990;19.0;KEEP_IN_LIFE;260.2592456461405;0.8406666666666667;SLOPE_EXCESS;False
7374981;air-source;2011.0;post2010;13.0;PLAN_REPLACEMENT;196.53062222510223;0.9313333333333333;SLOPE_EXCESS;True
861116;air-source;1980.0;1976_1990;44.0;REPLACE_END_OF_LIFE;471.2747866301766;0.794;INCONCLUSIVE;False
108511;ground-source;2003.0;2001_2010;21.0;KEEP_IN_LIFE;377.2393287741387;0.8141111111111111;SLOPE_EXCESS;False
119701;air-source;2006.0;pre1975;18.0;PLAN_REPLACEMENT;;;;False
86109;air-source;2016.0;1976_1990;8.0;KEEP_IN_LIFE;18.858441861157843;0.9885555555555555;INCONCLUSIVE;False
1037311;ground-source;2020.0;1976_1990;4.0;KEEP_IN_LIFE;0.0;1.0;BELOW_PHYSICS;False
768498;air-source;2009.0;1976_1990;15.0;PLAN_REPLACEMENT;;;;False
116121;air-source;2009.0;pre1975;15.0;PLAN_REPLACEMENT;460.7673772205523;0.9084444444444445;BELOW_PHYSICS;False
120741;air-source;2010.0;1976_1990;14.0;PLAN_REPLACEMENT;137.1361594127467;0.919888888888889;SLOPE_EXCESS;True
114721;air-source;2006.0;1976_1990;18.0;PLAN_REPLACEMENT;237.4730601904619;0.8741111111111112;SLOPE_EXCESS;True
815461;ground-source;2006.0;1976_1990;18.0;KEEP_IN_LIFE;239.5615330665232;0.8539444444444444;INCONCLUSIVE;False
1678757;air-source;2016.0;1976_1990;8.0;KEEP_IN_LIFE;23.383353731105647;0.9885555555555555;INCONCLUSIVE;False
971071;air-source;2013.0;1976_1990;11.0;KEEP_IN_LIFE;106.1031372396342;0.9542222222222222;INCONCLUSIVE;False
121728;ground-source;2014.0;post2010;10.0;KEEP_IN_LIFE;94.9618490433892;0.9601666666666666;BELOW_PHYSICS;False
114798;ground-source;2010.0;pre1975;14.0;KEEP_IN_LIFE;227.24075795270912;0.9070555555555555;BELOW_PHYSICS;False
1081057;ground-source;2020.0;post2010;4.0;KEEP_IN_LIFE;0.0;1.0;BELOW_PHYSICS;False
9776611;air-source;2019.0;post2010;5.0;KEEP_IN_LIFE;0.0;1.0;INCONCLUSIVE;False
996610;air-source;2003.0;2001_2010;21.0;REPLACE_END_OF_LIFE;;;;False
