Household_ID;era;area;footprint;n_above;bsmt;huell;residents;hp_type;emitter;jaz;jaz_derived;H_as_built;H_reference;required_kW_phys;installed_kW;ratio_phys;E_as_built;E_reference;deficiency;term_envelope;term_emitter;term_dhw;kwh_yr;rank_in_era
102766;2000 - 10;216.0;66.0;2;True;1.4738381339128284;2;ground-source;floor_only;4.25;False;232.7260147700684;191.022290932871;6.981780443102052;10.0;1.4322994086529788;3955.9509269052287;2590.4750786327836;1365.475848272445;404.09758740288004;0.0;961.3782608695652;15505.927969401948;17.0
110119;2000 - 10;130.0;65.0;2;False;2.0895751335634514;2;air-source;floor_only;3.5;False;172.08490694529945;136.49944242071388;5.162547208358984;7.2;1.3946603700479592;3056.5263218344753;1814.8178841902013;1241.708437644274;280.3301767747091;0.0;961.3782608695652;7082.724485396383;18.0
122850;2000 - 10;220.0;140.0;1;True;1.82582265896558;1;ground-source;floor_only;4.25;False;268.01039398897103;215.39018495758302;8.040311819669132;9.1;1.1317969009284612;3003.9794268450187;2100.4739760831467;903.505450761872;422.81632032708893;0.0;480.6891304347826;8368.94947426068;19.0
788488;2000 - 10;250.0;90.0;3;True;1.9744091466523768;3;air-source;floor_only;3.5;False;319.41591466523766;254.75401511237231;9.582477439957131;9.0;0.9392143165891204;5273.468686796018;4430.47943817399;842.9892486220278;842.9892486220268;0.0;0.0;8709.507520868114;20.0
7412010;2000 - 10;250.0;108.0;2;True;1.7703689233046325;5;air-source;floor_only;3.5;False;299.01189233046324;241.03231009223651;8.970356769913897;10.0;1.1147828627663363;5852.518662326412;5076.182706098336;776.3359562280757;776.3359562280776;0.0;0.0;12032.318697318005;21.0
9981041;2000 - 10;410.0;120.0;3;True;1.4489713499363552;2;ground-source;floor_only;4.25;False;437.67030138956227;359.84605018448065;13.130109041686868;13.2;1.005322953380755;4221.311299302901;3602.1976319743308;619.11366732857;619.1136673285705;0.0;0.0;9805.12875;22.0
1178890;2000 - 10;210.0;100.0;2;True;2.0;1;air-source;floor_only;3.5;False;270.459;215.439;8.11377;12.0;1.4789672371782783;3033.6601327092176;2491.737928389218;541.9222043199998;541.9222043200002;0.0;0.0;9650.69936111111;23.0
122887;2000 - 10;232.0;108.0;2;True;1.9077251328713714;3;air-source;floor_only;3.5;False;290.22969233046325;232.25011009223653;8.706890769913898;9.74;1.1186542081882944;3742.4625907732534;3216.4286274905235;526.0339632827299;526.0339632827289;0.0;0.0;10812.33820746133;24.0
108511;2000 - 10;274.0;156.0;2;False;1.838627421645295;5;ground-source;floor_only;4.25;False;335.19816541232433;269.2024727397881;10.055944962369729;7.8;0.7756605698607458;4489.5611697467175;3969.634172449465;519.9269972972525;519.926997297252;0.0;0.0;14216.734110696518;25.0
7086681;2000 - 10;180.0;90.0;2;False;1.8884199576606167;1;air-source;floor_only;3.5;False;223.7882369515644;179.25929434992707;6.713647108546931;7.5;1.1171275282628406;2436.6591034397866;2025.3917639524732;411.2673394873134;411.2673394873127;0.0;0.0;10366.932371060171;26.0
796869;2000 - 10;150.0;50.0;3;True;2.2819090885901003;2;air-source;floor_only;3.5;False;210.09954531540598;165.26003172461054;6.302986359462179;5.29;0.8392846974924097;2560.753894420761;2172.0659329283185;388.68796149244235;388.68796149244264;0.0;0.0;5611.907832535886;27.0
706817;2000 - 10;168.0;64.0;2;True;1.8571428571428572;3;air-source;floor_only;3.5;False;206.7672;165.8952;6.203016;6.1;0.9833925948280643;2899.750855294141;2545.8261603958517;353.9246948982891;353.9246948982887;0.0;0.0;11896.795679425835;28.0
1191127;2000 - 10;220.0;85.0;2;True;1.7110350015768543;3;ground-source;floor_only;4.25;False;257.9090801387632;208.59705139331822;7.737272404162896;8.03;1.0378334354209382;2732.5410170101386;2422.175188676286;310.36582833385273;310.3658283338527;0.0;0.0;12906.403699324324;29.0
5845834;2000 - 10;180.0;75.0;2;True;1.924038105676658;4;ground-source;floor_only;4.25;False;226.35274360871938;180.98392507686378;6.790582308261581;7.34;1.0809087743579788;3015.125009609086;2707.241821913598;307.88318769548823;307.8831876954883;0.0;0.0;9758.632136445243;30.0
1091217;2000 - 10;150.0;65.0;2;True;2.101206394693739;6;ground-source;floor_only;4.25;False;199.25738368162433;157.96867802589236;5.977721510448729;5.7;0.9535405739522513;3647.085485168007;3351.0776195135954;296.0078656544115;296.007865654411;0.0;0.0;7163.174932562621;31.0
103721;2000 - 10;160.0;80.0;2;False;1.9574767078498865;2;ground-source;floor_only;4.25;False;203.34250930239273;162.3137975058591;6.1002752790717825;6.1;0.9999548743197332;2193.4031240585527;1900.0513771306464;293.35174692790633;293.35174692790616;0.0;0.0;9747.132156580212;32.0
1001228;2000 - 10;170.0;57.0;3;False;1.9418507982516016;3;air-source;floor_only;3.5;False;214.9888542811089;171.74383700404573;6.449665628433267;9.4;1.457439895575396;2419.773439843314;2156.168152844055;263.6052869992591;263.6052869992585;0.0;0.0;8746.511084745762;33.0
1121037;2000 - 10;150.0;75.0;2;False;1.9970765814495917;4;ground-source;floor_only;4.25;False;193.0095948869755;153.767040061491;5.790287846609265;6.7;1.1571100051482681;2738.250301501862;2482.229387999632;256.0209135022301;256.0209135022299;0.0;0.0;14483.567137628112;34.0
5661171;2000 - 10;250.0;10.0;2;False;0.333220789838548;4;ground-source;floor_only;4.25;False;155.2970789838548;144.38409811664235;4.658912369515644;14.4;3.090850150825454;2651.252008917615;2568.8789897266347;82.37301919098036;82.37301919098039;0.0;0.0;18326.884875222815;35.0
889410;2000 - 10;240.0;176.0;2;False;2.2939849245279436;4;air-source;floor_only;3.5;False;337.3185527546826;265.19566672752404;10.119556582640477;11.6;1.1462952852992727;;;;;;1922.7565217391304;;
996610;2000 - 10;240.0;80.0;3;True;1.9087228258248676;2;air-source;floor_only;3.5;False;300.3333912791873;240.32314563525347;9.01000173837562;13.7;1.5205324480292413;;;;;;961.3782608695652;;
779742;< 1975;650.0;325.0;2;False;1.3490762119232476;7;ground-source;radiator_only;3.3999999999999995;True;1500.9493759626498;553.0209756547798;45.0284812788795;36.7;0.8150397028205801;27269.109194312943;9863.183439264132;17405.92575504881;15587.211416971903;1818.7143380769048;0.0;54420.17015503876;1.0
897731;< 1975;639.0;213.0;3;False;1.2400038066137342;2;air-source;radiator_only;2.8;False;1381.4573837753378;524.9135943226413;41.44372151326014;15.7;0.3788269833580631;19534.11171856107;6452.639433988046;13081.472284573025;11653.192860858619;1428.2794237144033;0.0;28542.43011792453;2.0
120912;< 1975;300.0;100.0;3;False;1.58;2;ground-source;radiator_only;3.3999999999999995;True;786.2700000000001;273.876;23.5881;15.8;0.669829278322544;17972.902805306912;5541.749445012788;12431.153360294124;11230.596433823534;1200.5569264705896;0.0;18920.593484848483;3.0
119701;< 1975;200.0;100.0;2;False;1.83;2;air-source;radiator_only;2.8;False;591.6800000000001;196.034;17.750400000000003;15.4;0.8675860825671533;15960.369354621851;4519.052317096821;11441.31703752503;9535.056132163867;944.8826444915969;961.3782608695652;21342.32294117647;4.0
116121;< 1975;395.0;235.0;1;True;1.5211172086365705;2;air-source;radiator_only;2.8;False;1003.8562515054513;354.3468090036788;30.11568754516354;11.3;0.3752197250371173;15629.142422083738;4672.69703182282;10956.445390260918;9011.773306218256;983.2938231730965;961.3782608695652;30533.18411764706;5.0
1191021;< 1975;380.0;300.0;1;True;1.9226111337530478;3;air-source;both;3.1;False;1171.7015116153136;381.9313100922366;35.15104534845941;16.3;0.46371309411753786;14075.806403721914;4852.848513487676;9222.957890234236;8739.91712832559;483.0407619086484;0.0;22647.240288944722;6.0
5011111;< 1975;286.0;117.0;2;True;1.634788997596445;5;air-source;both;3.1;False;770.7314319719874;265.31025674108486;23.121942959159618;;;14011.386920355038;5557.066429565347;8454.32049078969;7975.835060887852;478.4854299018401;0.0;19190.89890434783;7.0
1111201;< 1975;250.0;125.0;1;True;1.4744860247099318;4;air-source;both;3.1;False;619.614033339602;221.1341851617429;18.58842100018806;13.0;0.6993601016389976;10503.316779255936;3723.8525413574316;6779.4642378985045;4567.054933824333;289.65278233504034;1922.7565217391304;25144.537263279446;8.0
109104;< 1975;200.0;100.0;2;False;1.83;2;air-source;radiator_only;2.8;False;591.6800000000001;196.034;17.750400000000003;8.6;0.48449612403100767;9162.119377882778;2717.148401547785;6444.970976334993;4989.1860498610895;494.4066656043377;961.3782608695652;14308.08245950554;9.0
7771161;< 1975;240.0;90.0;3;False;1.8432224523681937;3;air-source;radiator_only;2.8;False;714.3000745672948;236.09444152489056;21.429002237018846;23.7;1.1059777649870222;9672.177363181214;3373.487165718945;6298.690197462269;5732.639058206446;566.0511392558234;0.0;25784.651381059753;10.0
