Household_ID;era;area;residents;hp_type;emitter;huellzahl;u_as_built;H_as_built;H_reference;T_bal_q_int_5.0;base_used;jaz_as_built;jaz_derived;E_as_built;E_reference;deficiency_kwh_yr;term_envelope;term_emitter;term_dhw;kwh_yr_actual
7086681;2000 - 10;180.0;1;air-source;floor_only;1.4;0.4;188.62199999999996;155.60999999999999;15.228552342780798;15;3.5;False;2971.5725061163594;2516.212019291778;455.3604868245816;455.3604868245817;0.0;0.0;10366.932371060171
868122;1986 - 90;280.0;1;air-source;both;1.65;0.8;506.212;260.89;17.234360307539134;17;3.1;False;11097.302500381911;5266.634027055235;5830.668473326677;5198.813872360223;631.854600966454;0.0;9033.978451528952
881223;1976 - 80;240.0;2;air-source;radiator_only;1.65;0.8;433.896;223.62;17.234360307539134;17;2.8;False;11960.983574354152;4969.77025747967;6991.213316874481;4972.272926417604;1057.562129587309;961.3782608695652;16212.123454245671
118708;1991 - 95;186.0;2;ground-source;floor_only;1.65;0.55;259.5444;173.3055;16.41679805073814;16;4.25;False;4048.3391721662692;2948.9173556068135;1099.4218165594557;1099.421816559456;0.0;0.0;8721.785677419353
1037610;> 2010;222.0;5;ground-source;floor_only;1.4;0.24000000000000002;182.9058;191.91899999999998;13.931302342517295;14;4.25;False;3867.9384872729343;3967.437026005234;-99.49853873229995;-99.49853873229985;0.0;0.0;18065.002104838706
6885841;> 2010;170.0;4;air-source;floor_only;1.4;0.24000000000000002;140.063;146.96499999999997;13.931302342517295;14;3.5;False;3119.82551824278;3200.6796884373007;-80.85417019452052;-80.85417019452052;0.0;0.0;6852.998272515528
2794690;1976 - 80;140.0;6;air-source;floor_only;1.65;0.8;253.106;130.445;17.234360307539134;17;3.5;False;6999.158210300331;4682.372685250692;2316.7855250496395;2316.78552504964;0.0;0.0;8329.827355848434
111119;1981 - 85;180.0;2;ground-source;floor_only;1.65;0.8;325.422;167.71499999999997;17.234360307539134;17;4.25;False;5684.730989836716;3288.1686329550803;2396.5623568816354;2396.562356881636;0.0;0.0;6880.494432258064
105807;1981 - 85;200.0;2;ground-source;both;1.65;0.8;361.58;186.35;17.234360307539134;17;3.7642857142857147;True;7068.223167156422;3628.426691560794;3439.796475595628;3067.0345462497744;372.7619293458525;0.0;13048.352405470638
7374981;> 2010;200.0;5;air-source;floor_only;1.4;0.24000000000000002;164.77999999999997;172.89999999999998;13.931302342517295;14;3.5;False;4762.06132579315;4905.6202932715605;-143.55896747841052;-143.558967478411;0.0;0.0;10276.235823986195
861116;1976 - 80;195.0;2;air-source;floor_only;1.65;0.8;352.5405;181.69125;17.234360307539134;17;3.5;False;6793.915326684783;3859.816680888146;2934.0986457966374;2934.098645796639;0.0;0.0;6790.1821840759685
108511;2000 - 10;274.0;5;ground-source;floor_only;1.4;0.4;287.1246;236.873;15.2285523427808;15;4.25;False;5230.36537676255;4638.535724403597;591.8296523589534;591.8296523589535;0.0;0.0;14216.734110696518
119701;< 1975;200.0;2;air-source;radiator_only;2.0;1.35;637.5799999999999;205.18;18.43156937168669;18;2.8;False;29034.84533676471;7776.604337953965;21258.240998810743;18537.592088235295;1759.2706497058832;961.3782608695652;21342.32294117647
86109;1981 - 85;160.0;2;air-source;floor_only;1.65;0.8;289.264;149.07999999999998;17.234360307539134;17;3.5;False;6200.405456239176;3553.9353700923625;2646.470086146813;2646.470086146813;0.0;0.0;6879.594323570433
1037311;1976 - 80;180.0;3;ground-source;floor_only;1.65;0.8;325.422;167.71499999999997;17.234360307539134;17;4.25;False;6088.95464253591;3675.6908268109573;2413.263815724953;2413.263815724953;0.0;0.0;4205.425176268272
768498;1986 - 90;200.0;2;air-source;both;1.65;0.8;361.58;186.35;17.234360307539134;17;3.1;False;;;;;;961.3782608695652;
116121;< 1975;395.0;2;air-source;radiator_only;2.0;1.35;1259.2205;405.2305;18.43156937168669;18;2.8;False;36300.35157960043;9647.097855197331;26653.253724403097;23464.9814345168;2226.8940290167247;961.3782608695652;30533.18411764706
120741;1981 - 85;164.0;2;air-source;floor_only;1.65;0.8;296.4956;152.80700000000002;17.234360307539134;17;3.5;False;6356.8648965423035;3634.570960281222;2722.2939362610814;2722.2939362610805;0.0;0.0;11604.541688741723
